Timestamp, Shiny experience: you have...,R experience: you are comfortable…,Is there a particular reason you’d like to learn shiny/feature you’re interested in?,Do you use and have RStudio on the computer you’ll use?,What operating system do you use?
07/01/2019 15:25:49,"seen, but never made a shiny app before","assigning values to variables, working with data frames and/or tibbles",VISUALIZE DATA,Yes,Windows
07/01/2019 15:27:17,not knowingly seen a shiny app before,"assigning values to variables, working with data frames and/or tibbles",Things I've seen look great but I have no idea how to use it or how to apply it to my own data.,Yes,Windows
07/01/2019 15:35:32,"seen, but never made a shiny app before","assigning values to variables, working with data frames and/or tibbles, writing  functions",I'd like to use it for sharing data analysis tools,Yes,Mac
07/01/2019 15:35:36,not knowingly seen a shiny app before,assigning values to variables,"I'm a R debutant, everything I can learn makes me happy!",Yes,Windows
07/01/2019 15:41:06,"seen, but never made a shiny app before","assigning values to variables, working with data frames and/or tibbles, writing  functions",,Yes,Linux
07/01/2019 16:21:11,not knowingly seen a shiny app before,"assigning values to variables, working with data frames and/or tibbles, writing  functions",,Yes,Mac
07/01/2019 18:16:08,not knowingly seen a shiny app before,assigning values to variables,,Yes,Windows
07/01/2019 18:22:17,made a shiny app with inputs and outputs,"assigning values to variables, working with data frames and/or tibbles, writing  functions","Very powerful, great for data exploration",Yes,Linux
07/01/2019 19:19:00,not knowingly seen a shiny app before,working with data frames and/or tibbles,To become more versatile in R and hopefully get inspired to make a shiny app,Yes,Mac
07/01/2019 19:24:24,"seen, but never made a shiny app before","assigning values to variables, working with data frames and/or tibbles, writing  functions",,Yes,Windows
07/01/2019 23:33:14,not knowingly seen a shiny app before,"assigning values to variables, working with data frames and/or tibbles",,Yes,Windows
08/01/2019 14:42:48,not knowingly seen a shiny app before,"assigning values to variables, working with data frames and/or tibbles",,Yes,Mac
08/01/2019 20:24:54,not knowingly seen a shiny app before,"assigning values to variables, working with data frames and/or tibbles, writing  functions",,Yes,Mac
09/01/2019 11:28:03,not knowingly seen a shiny app before,working with data frames and/or tibbles,,Yes,Mac
09/01/2019 13:51:14,"seen, but never made a shiny app before","assigning values to variables, working with data frames and/or tibbles",,Yes,Windows
10/01/2019 15:01:18,not knowingly seen a shiny app before,assigning values to variables,"I'd just like to try and learn a new thing, building from existing basic understanding of R. ",Yes,Mac
16/01/2019 23:59:40,not knowingly seen a shiny app before,working with data frames and/or tibbles,allowing users to upload their personal data web application and present them with results of my program's analysis,Yes,Windows
28/01/2019 15:42:28,"seen, but never made a shiny app before","assigning values to variables, working with data frames and/or tibbles, writing  functions",I need it for my PhD,Yes,Windows
28/01/2019 15:54:34,"seen, but never made a shiny app before","assigning values to variables, working with data frames and/or tibbles",,Yes,Linux
29/01/2019 16:22:13,not knowingly seen a shiny app before,"assigning values to variables, working with data frames and/or tibbles, writing  functions",,Yes,Mac
31/01/2019 23:00:21,not knowingly seen a shiny app before,"assigning values to variables, working with data frames and/or tibbles, writing  functions",no,Yes,Windows
